date,open,high,low,close,volume,amount,factor
2021-07-28,28.06,47.06,28.06,33.32,372147,1495134.688,1.0
2021-07-29,30.34,31.72,28.56,30.91,253566,897378.48,1.0
2021-07-30,29.85,32.04,26.44,30.98,251086,848189.68,1.0
2021-08-02,30.56,36.35,30.56,35.53,222868,870508.352,1.0
2021-08-03,36.18,41.03,35.09,39.58,193773,837774.688,1.0
2021-08-04,38.72,41.91,36.67,40.32,147619,658511.888,1.0
2021-08-05,38.56,44.47,37.74,42.44,117625,539563.44,1.0
2021-08-06,42.67,44.86,40.73,42.2,89951,429361.632,1.0
2021-08-09,40.86,42.26,38.81,41.39,79572,363845.472,1.0
2021-08-10,41.79,43.6,40.15,41.98,71768,335625.456,1.0
2021-08-11,41.06,42.14,38.95,41.84,69999,318694.704,1.0
2021-08-12,41.41,45.48,40.04,44.76,76725,368489.328,1.0
2021-08-13,45.57,47.84,43.94,44.37,67877,342746.88,1.0
2021-08-16,43.84,51.94,42.46,49.42,76655,402032.896,1.0
2021-08-17,49.29,49.86,44.72,44.86,52174,271588.688,1.0
2021-08-18,45.13,47.35,44.61,45.36,36992,187494.851,1.0
2021-08-19,45.86,47.86,44.76,45.87,34909,178243.731,1.0
2021-08-20,44.83,46.47,42.66,46.47,38880,192569.953,1.0
2021-08-23,46.53,47.95,45.51,47.06,34140,177003.401,1.0
2021-08-24,47.06,47.26,44.74,46.4,31169,158455.238,1.0
2021-08-25,44.94,47.39,44.57,46.06,29700,151690.158,1.0
2021-08-26,45.84,47.04,44.06,46.96,32379,163544.433,1.0
2021-08-27,46.94,52.56,46.17,51.32,39063,213565.521,1.0
2021-08-30,50.13,51.75,48.95,50.86,27138,150052.473,1.0
2021-08-31,50.56,51.66,48.71,51.56,23204,127557.954,1.0
2021-09-01,51.46,54.86,49.77,51.47,28556,161651.181,1.0
2021-09-02,50.11,51.78,49.21,50.76,17905,99446.179,1.0
2021-09-03,51.05,51.21,46.94,47.81,20869,112519.155,1.0
2021-09-06,48.01,48.46,46.36,47.26,18859,98316.684,1.0
2021-09-07,47.27,48.61,47.01,47.06,22478,118176.09,1.0
2021-09-08,47.0,47.05,41.36,43.12,48295,235563.261,1.0
2021-09-09,43.03,46.53,43.03,45.46,31795,159075.332,1.0
2021-09-10,45.71,46.66,44.2,46.16,16415,82359.787,1.0
2021-09-13,47.04,49.11,44.53,48.07,37651,196993.78,1.0
2021-09-14,47.37,49.56,46.05,47.06,33213,173176.162,1.0
2021-09-15,45.85,48.05,44.64,47.57,23733,122514.22,1.0
2021-09-16,48.04,48.96,46.74,48.81,23031,122009.273,1.0
2021-09-17,48.16,52.14,48.16,49.54,26667,146592.738,1.0
2021-09-22,50.61,50.94,47.34,48.46,18337,97986.181,1.0
2021-09-23,47.6,49.36,45.44,45.58,21491,109612.571,1.0
2021-09-24,44.7,46.3,43.6,45.32,14404,71050.486,1.0
2021-09-27,44.59,45.47,42.41,43.05,12650,60846.454,1.0
2021-09-28,43.05,43.58,41.71,43.37,11018,51714.137,1.0
2021-09-29,42.6,43.48,41.63,41.84,9256,43287.151,1.0
2021-09-30,42.1,45.1,41.8,45.1,10807,51831.189,1.0
2021-10-08,44.3,44.9,41.9,42.42,10319,49200.801,1.0
2021-10-11,42.35,43.39,42.35,42.4,4473,21069.355,1.0
2021-10-12,41.93,42.24,39.67,41.1,8017,36165.09,1.0
2021-10-13,40.54,42.61,40.1,42.52,8536,39156.921,1.0
2021-10-14,42.26,42.9,42.26,42.48,4942,23206.281,1.0
2021-10-15,42.7,45.07,41.8,44.5,12951,62677.957,1.0
2021-10-18,44.6,45.2,43.48,44.4,5940,29109.211,1.0
2021-10-19,44.39,44.96,42.72,44.39,6923,33284.323,1.0
2021-10-20,44.37,45.52,43.31,45.49,6354,31265.838,1.0
2021-10-21,45.84,45.9,44.75,45.8,5132,25525.031,1.0
2021-10-22,45.1,46.57,44.82,45.8,5640,28312.148,1.0
2021-10-25,45.2,45.95,44.64,45.61,3878,19332.916,1.0
2021-10-26,45.63,45.89,44.95,45.6,3764,18740.088,1.0
2021-10-27,45.6,45.6,44.68,45.1,3981,19690.679,1.0
2021-10-28,45.12,45.6,42.7,42.7,6389,30637.341,1.0
2021-10-29,42.55,44.1,42.3,44.1,8223,38924.758,1.0
2021-11-01,44.98,44.98,43.12,44.11,6632,31911.731,1.0
2021-11-02,44.11,44.86,42.62,43.15,7905,37870.969,1.0
2021-11-03,41.83,43.14,41.73,42.36,3856,18034.952,1.0
2021-11-04,42.36,44.33,41.72,43.37,7848,37169.21,1.0
2021-11-05,43.37,43.37,42.3,42.6,5115,24048.358,1.0
2021-11-08,42.61,42.71,41.48,42.02,8703,40221.227,1.0
2021-11-09,42.11,43.98,41.95,42.79,9058,43022.332,1.0
2021-11-10,43.17,43.17,42.21,42.47,4841,22688.34,1.0
