date,open,high,low,close,volume,amount,factor
2021-05-27,7.73,8.11,7.66,7.66,83256,76381.682,1.0
2021-05-28,7.58,7.66,7.33,7.66,33962,30037.038,1.0
2021-05-31,7.55,7.65,7.45,7.65,15918,14195.575,1.0
2021-06-01,7.61,7.66,7.56,7.66,7653,6869.483,1.0
2021-06-02,7.64,7.67,7.56,7.65,8742,7834.101,1.0
2021-06-03,7.6,7.65,7.58,7.65,5599,5022.632,1.0
2021-06-04,7.66,7.66,7.61,7.65,5145,4620.697,1.0
2021-06-07,7.62,7.68,7.59,7.67,5454,4901.56,1.0
2021-06-08,7.64,7.67,7.61,7.66,3258,2929.814,1.0
2021-06-09,7.63,7.67,7.62,7.66,4246,3817.872,1.0
2021-06-10,7.64,7.68,7.63,7.65,2727,2452.538,1.0
2021-06-11,7.66,7.66,7.41,7.41,9047,8032.907,1.0
2021-06-15,7.43,7.49,7.26,7.27,6159,5346.451,1.0
2021-06-16,7.28,7.34,7.25,7.3,1315,1134.354,1.0
2021-06-17,7.31,7.36,7.27,7.31,1276,1102.433,1.0
2021-06-18,7.36,7.41,7.27,7.37,2037,1772.464,1.0
2021-06-21,7.4,7.4,7.34,7.35,1565,1362.887,1.0
2021-06-22,7.4,7.53,7.37,7.49,2854,2515.381,1.0
2021-06-23,7.46,7.54,7.45,7.52,1718,1517.949,1.0
2021-06-24,7.54,7.98,7.52,7.96,23329,21248.9,1.0
2021-06-25,8.05,8.2,7.76,7.85,17215,15989.758,1.0
2021-06-28,7.91,7.91,7.62,7.67,7982,7234.993,1.0
2021-06-29,7.66,7.79,7.66,7.74,3891,3527.83,1.0
2021-06-30,7.72,7.77,7.67,7.71,3865,3499.694,1.0
2021-07-01,7.71,7.74,7.69,7.71,2297,2079.019,1.0
2021-07-02,7.71,7.73,7.68,7.7,2661,2406.37,1.0
2021-07-05,7.74,7.74,7.6,7.61,3034,2733.563,1.0
2021-07-06,7.71,7.8,7.62,7.69,4978,4506.297,1.0
2021-07-07,7.74,7.77,7.65,7.67,2034,1839.187,1.0
2021-07-08,7.69,7.72,7.62,7.65,2399,2158.397,1.0
2021-07-09,7.63,7.77,7.63,7.72,3029,2739.614,1.0
2021-07-12,7.68,7.76,7.65,7.66,4027,3635.303,1.0
2021-07-13,7.66,7.71,7.6,7.68,3061,2751.053,1.0
2021-07-14,7.68,7.81,7.65,7.72,4803,4355.772,1.0
2021-07-15,7.74,7.93,7.74,7.92,7424,6835.542,1.0
2021-07-16,7.93,8.41,7.91,8.36,8727,8316.708,1.0
2021-07-19,8.33,9.1,8.33,8.44,14563,14813.196,1.0
2021-07-20,8.33,8.58,8.28,8.31,4222,4119.081,1.0
