date,open,high,low,close,volume,amount,factor
2024-12-24,69.11,69.11,51.7,53.2,385496,2322362.106,1.0
2024-12-25,48.92,49.02,43.21,43.3,285438,1325157.884,1.0
2024-12-26,41.5,45.68,41.18,42.23,225879,994554.141,1.0
2024-12-27,41.15,42.91,40.54,40.79,171713,724063.026,1.0
2024-12-30,40.13,40.2,37.36,37.36,169293,664205.23,1.0
2024-12-31,36.86,37.09,34.89,34.91,144440,528331.377,1.0
2025-01-02,35.32,35.61,34.25,34.4,101903,364659.111,1.0
2025-01-03,34.32,36.11,34.08,34.84,135473,484999.215,1.0
2025-01-06,34.96,35.01,32.8,33.37,102340,351597.411,1.0
2025-01-07,33.12,33.55,32.89,33.45,73041,248963.781,1.0
2025-01-08,33.13,34.18,32.98,33.89,88778,306277.908,1.0
2025-01-09,34.22,35.06,33.62,34.42,103432,364855.575,1.0
2025-01-10,34.12,36.75,33.7,34.55,125853,452520.775,1.0
2025-01-13,33.85,34.11,32.84,33.21,79028,271283.209,1.0
2025-01-14,33.22,35.08,33.02,35.08,107787,379841.038,1.0
2025-01-15,34.87,35.22,34.18,34.38,69461,245874.654,1.0
2025-01-16,34.43,35.11,34.27,34.38,66083,234674.677,1.0
2025-01-17,34.05,34.29,33.54,33.6,61582,213879.705,1.0
2025-01-20,33.98,34.97,33.77,34.49,72761,256959.318,1.0
2025-01-21,34.62,35.14,33.98,34.8,70460,250233.634,1.0
2025-01-22,34.49,34.49,33.54,33.64,67261,234158.405,1.0
2025-01-23,34.01,34.48,33.65,33.67,60115,210613.969,1.0
2025-01-24,33.57,33.77,33.07,33.65,45517,156398.532,1.0
2025-01-27,33.8,33.85,32.89,32.92,44696,152861.542,1.0
2025-02-05,33.1,33.32,32.92,33.24,33137,112774.622,1.0
2025-02-06,33.07,34.25,33.02,34.09,54283,187598.551,1.0
2025-02-07,34.11,37.59,34.0,36.55,141658,520732.876,1.0
2025-02-10,36.11,36.75,35.91,36.42,77233,287165.124,1.0
2025-02-11,36.22,36.97,36.14,36.55,63054,236209.689,1.0
2025-02-12,36.37,36.9,36.3,36.9,54270,203974.752,1.0
2025-02-13,36.9,38.42,36.72,36.93,91732,352086.269,1.0
2025-02-14,36.72,36.72,35.82,36.18,66422,246480.561,1.0
2025-02-17,35.95,36.36,35.62,36.3,50006,184555.077,1.0
2025-02-18,36.14,37.05,35.58,35.65,60772,225857.349,1.0
2025-02-19,35.85,36.58,35.5,36.35,49096,182098.238,1.0
2025-02-20,36.38,36.4,35.68,36.07,43371,159906.098,1.0
2025-02-21,36.22,36.72,35.82,36.41,46710,173640.273,1.0
2025-02-24,36.32,36.81,36.0,36.75,55070,205902.386,1.0
2025-02-25,36.42,37.5,36.16,37.13,64751,244586.131,1.0
2025-02-26,37.42,38.4,36.89,38.22,89100,344832.869,1.0
2025-02-27,38.22,40.09,37.65,37.72,113772,451298.288,1.0
2025-02-28,37.57,38.17,36.72,36.8,74042,281751.838,1.0
2025-03-03,36.87,37.56,36.22,36.97,50943,192870.751,1.0
2025-03-04,36.92,38.86,36.72,38.5,87864,343651.502,1.0
2025-03-05,38.22,39.9,38.14,38.44,109441,436339.067,1.0
2025-03-06,38.54,38.89,37.64,38.62,82660,323703.696,1.0
2025-03-07,38.41,39.18,37.8,38.09,73894,289551.121,1.0
2025-03-10,38.09,38.37,37.55,37.83,49408,191725.132,1.0
2025-03-11,37.16,37.67,36.82,37.62,50111,191353.388,1.0
2025-03-12,37.83,37.91,37.18,37.18,42357,162323.604,1.0
2025-03-13,37.19,37.31,35.98,36.1,50338,187993.484,1.0
2025-03-14,36.16,37.22,35.82,36.91,50136,187998.966,1.0
2025-03-17,36.92,37.41,36.64,37.17,36770,139456.04,1.0
2025-03-18,37.18,37.47,36.96,37.36,29579,112679.18,1.0
2025-03-19,37.42,37.62,36.95,37.27,29234,111549.436,1.0
2025-03-20,37.27,38.22,37.01,37.53,58714,226833.323,1.0
2025-03-21,37.53,37.56,36.34,36.44,45467,171555.85,1.0
2025-03-24,36.23,36.85,35.71,36.63,34450,128001.631,1.0
2025-03-25,36.61,36.97,35.92,36.01,26952,100139.781,1.0
2025-03-26,36.0,36.57,35.82,36.2,21818,81001.498,1.0
2025-03-27,36.1,38.42,35.92,37.15,69933,267600.49,1.0
2025-03-28,37.22,38.62,36.88,37.0,54435,209603.415,1.0
2025-03-31,36.69,36.82,35.84,36.71,41839,155503.85,1.0
2025-04-01,36.43,36.78,36.22,36.31,28553,106586.973,1.0
2025-04-02,36.3,37.1,36.13,36.43,27971,104910.286,1.0
