date,open,high,low,close,volume,amount,factor
2021-12-24,209.27,229.27,188.15,192.17,143966,2908437.984,1.0
2021-12-27,197.27,197.57,175.27,181.4,51811,971884.304,1.0
2021-12-28,182.87,196.52,180.15,195.27,37652,723687.664,1.0
2021-12-29,196.27,209.24,193.52,200.34,33616,680873.84,1.0
2021-12-30,199.27,214.1,198.27,212.82,26144,546571.328,1.0
2021-12-31,212.15,221.49,207.8,218.27,22225,479320.224,1.0
2022-01-04,223.77,231.35,202.27,203.27,34530,740778.288,1.0
2022-01-05,200.27,212.16,195.15,211.27,23331,478234.0,1.0
2022-01-06,207.19,218.27,203.58,206.24,19482,411114.768,1.0
2022-01-07,204.27,213.65,200.61,202.57,17748,368062.976,1.0
2022-01-10,199.27,205.78,192.07,198.53,20749,414142.704,1.0
2022-01-11,196.19,206.25,190.74,192.67,16824,336357.696,1.0
2022-01-12,195.36,197.77,188.03,195.31,18355,355504.96,1.0
2022-01-13,192.75,201.38,185.87,195.27,20657,402135.792,1.0
2022-01-14,192.79,209.26,192.28,205.23,23827,488818.928,1.0
2022-01-17,205.17,226.74,204.27,215.55,26341,573299.424,1.0
2022-01-18,215.27,218.25,204.46,210.34,19638,414637.312,1.0
2022-01-19,206.27,210.27,197.28,202.27,18764,379993.248,1.0
2022-01-20,202.27,203.49,196.43,199.07,9518,190764.151,1.0
2022-01-21,198.18,203.07,191.27,192.99,12413,243709.107,1.0
2022-01-24,191.95,201.27,189.6,193.81,9811,193603.262,1.0
2022-01-25,193.77,195.74,183.15,183.27,13243,249666.533,1.0
2022-01-26,184.26,190.93,183.05,188.07,7248,136297.582,1.0
2022-01-27,190.27,197.76,186.17,188.19,9658,185783.922,1.0
2022-01-28,191.17,194.15,181.97,187.72,9263,175893.739,1.0
2022-02-07,189.76,192.15,152.95,157.77,27019,451466.368,1.0
2022-02-08,152.94,154.25,140.49,145.27,21298,310442.304,1.0
2022-02-09,145.17,148.03,142.61,144.09,10833,158197.334,1.0
2022-02-10,146.05,146.05,135.27,137.35,16118,224107.749,1.0
2022-02-11,136.38,140.73,134.45,136.04,8213,113715.577,1.0
2022-02-14,133.12,141.92,130.77,140.35,9608,134595.566,1.0
2022-02-15,141.24,148.14,139.85,144.16,11547,167437.956,1.0
2022-02-16,146.33,146.33,136.66,137.78,12240,172119.472,1.0
2022-02-17,136.28,144.27,135.65,141.87,11662,164609.456,1.0
2022-02-18,139.27,140.27,135.47,136.28,7329,101043.181,1.0
2022-02-21,136.28,137.87,133.57,137.27,5998,81851.218,1.0
2022-02-22,135.07,135.86,129.48,133.64,9082,120818.525,1.0
2022-02-23,133.77,148.15,133.77,145.23,15284,218151.894,1.0
2022-02-24,143.27,145.27,136.65,139.27,10735,151733.002,1.0
2022-02-25,144.77,151.6,140.79,146.29,15210,224392.462,1.0
2022-02-28,146.27,154.1,145.16,149.57,11278,170053.052,1.0
2022-03-01,148.27,152.06,145.82,149.97,8246,123035.333,1.0
2022-03-02,149.27,149.27,143.27,147.24,6364,93532.345,1.0
2022-03-03,148.27,149.27,140.57,141.27,8261,118414.296,1.0
2022-03-04,139.53,143.11,136.87,137.77,6136,86041.614,1.0
2022-03-07,135.99,138.26,134.28,135.31,4709,64199.367,1.0
2022-03-08,135.73,142.27,134.47,137.47,7651,106200.831,1.0
2022-03-09,139.26,144.77,135.27,142.87,11652,164890.807,1.0
2022-03-10,146.27,148.27,142.87,143.4,12778,186840.235,1.0
2022-03-11,140.37,141.97,136.27,139.92,10736,150063.481,1.0
2022-03-14,136.27,137.75,118.83,119.45,15263,195353.064,1.0
2022-03-15,118.03,122.51,109.77,109.77,21300,248865.382,1.0
2022-03-16,112.02,113.94,104.28,112.54,23493,259513.511,1.0
2022-03-17,117.45,123.37,115.47,119.98,20417,245626.6,1.0
2022-03-18,119.02,120.77,116.07,118.87,8771,104624.196,1.0
2022-03-21,119.23,125.19,116.67,122.26,12902,157849.164,1.0
2022-03-22,121.24,123.27,116.33,119.56,11236,134283.338,1.0
2022-03-23,119.48,125.27,119.25,120.27,11128,136388.141,1.0
2022-03-24,120.47,120.47,115.78,118.76,6301,74757.864,1.0
2022-03-25,121.18,121.18,114.27,114.67,6124,71909.638,1.0
2022-03-28,115.33,118.67,112.27,116.17,8834,102289.876,1.0
2022-03-29,113.78,117.19,108.27,109.27,8437,94906.588,1.0
2022-03-30,109.77,116.97,109.77,116.41,8778,101143.324,1.0
2022-03-31,118.17,118.17,111.32,111.98,6269,71393.091,1.0
2022-04-01,111.27,113.28,107.27,107.78,8962,98995.186,1.0
2022-04-06,106.77,107.07,104.58,105.58,5406,57384.343,1.0
2022-04-07,104.85,105.1,101.79,101.86,5860,60858.044,1.0
2022-04-08,102.27,102.95,98.91,102.07,5207,52888.274,1.0
2022-04-11,100.48,100.78,95.37,95.92,6981,68670.89,1.0
2022-04-12,95.92,98.85,94.51,98.26,5664,55071.864,1.0
2022-04-13,97.27,98.87,94.78,96.87,4744,46288.918,1.0
2022-04-14,98.27,100.95,93.32,96.75,9611,94226.176,1.0
2022-04-15,95.25,100.22,93.27,98.27,8723,85526.243,1.0
2022-04-18,98.06,107.2,95.48,103.32,11708,120650.44,1.0
2022-04-19,103.07,104.83,98.26,98.6,7137,72434.201,1.0
2022-04-20,98.83,101.77,98.3,99.33,7572,76471.929,1.0
2022-04-21,97.47,102.85,97.34,97.97,5879,58955.723,1.0
2022-04-22,97.25,99.56,92.72,93.03,5937,56948.528,1.0
2022-04-25,90.25,91.41,84.58,84.58,5578,49522.078,1.0
2022-04-26,86.07,86.45,79.97,80.17,5318,44826.147,1.0
2022-04-27,77.38,86.06,77.38,84.51,7723,63944.818,1.0
2022-04-28,86.27,94.07,86.27,89.27,14948,133820.713,1.0
2022-04-29,89.27,94.71,86.27,93.75,11929,108300.225,1.0
2022-05-05,92.5,95.67,91.07,91.87,9297,86771.647,1.0
2022-05-06,88.27,92.98,87.8,92.02,4630,42400.248,1.0
2022-05-09,92.02,93.07,90.39,91.77,3756,34801.857,1.0
2022-05-10,90.57,99.21,90.27,95.34,10103,97716.104,1.0
2022-05-11,94.64,100.76,94.33,96.64,9120,90582.045,1.0
2022-05-12,95.68,101.95,95.68,101.95,7903,79334.318,1.0
2022-05-13,102.27,103.71,97.32,99.01,11870,119775.106,1.0
2022-05-16,101.6,105.25,98.72,99.4,8113,83100.528,1.0
2022-05-17,99.39,104.28,98.27,103.37,10548,108670.025,1.0
2022-05-18,103.77,105.07,100.9,104.05,6612,68843.453,1.0
2022-05-19,102.96,106.1,100.07,104.7,10921,113249.652,1.0
2022-05-20,104.7,112.5,102.46,109.27,12444,134209.608,1.0
2022-05-23,109.27,113.76,107.65,112.91,6935,77126.564,1.0
