date,open,high,low,close,volume,amount,factor
2020-03-20,130.85,140.85,114.18,115.86,117878,1479161.366,1.0
2020-03-23,110.73,123.35,103.85,106.95,73321,834724.58,1.0
2020-03-24,114.86,118.68,98.83,110.21,70169,774553.777,1.0
2020-03-25,113.73,113.8,102.86,105.99,56374,610666.318,1.0
2020-03-26,99.84,102.83,94.41,94.8,58635,581073.793,1.0
2020-03-27,94.75,95.55,87.65,88.1,53576,493132.583,1.0
2020-03-30,84.82,88.62,82.04,86.01,38491,332328.028,1.0
2020-03-31,87.35,87.85,81.7,82.03,38810,331864.133,1.0
2020-04-01,81.41,84.41,80.66,81.24,30810,257248.522,1.0
2020-04-02,81.13,92.65,81.13,90.82,56174,496784.808,1.0
2020-04-03,88.15,89.55,85.55,85.97,40748,358968.608,1.0
2020-04-07,89.1,92.45,88.23,88.62,38203,348929.196,1.0
2020-04-08,86.85,90.61,86.55,88.07,26359,235861.423,1.0
2020-04-09,88.88,91.65,88.75,90.83,28165,257319.385,1.0
2020-04-10,91.85,93.58,86.06,87.86,36636,334672.56,1.0
2020-04-13,86.15,86.44,83.87,84.4,19944,171182.225,1.0
2020-04-14,85.22,87.53,84.95,87.46,19062,166128.918,1.0
2020-04-15,89.8,95.85,89.8,92.5,45581,429164.538,1.0
2020-04-16,91.85,93.83,90.89,93.61,23753,222847.226,1.0
2020-04-17,93.64,96.45,92.15,92.69,25433,242157.631,1.0
2020-04-20,92.69,93.53,90.51,92.67,15112,140779.064,1.0
2020-04-21,93.95,97.05,93.85,95.74,21845,211071.229,1.0
2020-04-22,94.83,96.13,94.13,96.06,16156,155634.649,1.0
2020-04-23,96.5,98.34,93.15,95.8,23543,227411.348,1.0
2020-04-24,95.12,99.85,93.36,97.85,25577,250968.192,1.0
2020-04-27,97.9,103.62,97.06,101.81,22023,224458.475,1.0
2020-04-28,101.35,102.29,92.45,98.16,28284,280632.048,1.0
2020-04-29,97.15,105.72,97.15,105.65,25439,264993.237,1.0
2020-04-30,102.85,109.45,101.85,105.65,35396,379092.656,1.0
2020-05-06,105.65,116.35,104.36,113.9,32457,361857.424,1.0
